name,url,stars,description,license,question_issues,help_wanted_issues,community_score,created_at
ValdikSS/GoodbyeDPI,https://github.com/ValdikSS/GoodbyeDPI,26351,GoodbyeDPI — Deep Packet Inspection circumvention utility (for Windows),Apache License 2.0,3,2,5,2017-05-16
cloudwu/skynet,https://github.com/cloudwu/skynet,13456,A lightweight online game framework,The MIT License,5,0,5,2012-08-01
Meituan-Dianping/Logan,https://github.com/Meituan-Dianping/Logan,5772,Logan is a lightweight case logging system based on mobile platform.,The MIT License,3,2,5,2018-09-26
microsoft/winfile,https://github.com/microsoft/winfile,6916,Original Windows File Manager (winfile) with enhancements,The MIT License,0,4,4,2018-04-02
erincatto/box2d,https://github.com/erincatto/box2d,8591,Box2D is a 2D physics engine for games,The MIT License,2,1,3,2015-03-14
bytecodealliance/wasm-micro-runtime,https://github.com/bytecodealliance/wasm-micro-runtime,5170,WebAssembly Micro Runtime (WAMR),Apache License 2.0,1,2,3,2019-05-02
microsoft/mimalloc,https://github.com/microsoft/mimalloc,10992,mimalloc is a compact general purpose allocator with excellent performance.,The MIT License,0,3,3,2019-06-19
mruby/mruby,https://github.com/mruby/mruby,5333,Lightweight Ruby,The MIT License,2,0,2,2012-04-19
floooh/sokol,https://github.com/floooh/sokol,7788,minimal cross-platform standalone C headers,Zlib/libpng License,1,0,1,2017-07-14
baidu/dperf,https://github.com/baidu/dperf,5201,dperf is a 100Gbps network load tester.,Apache License 2.0,0,1,1,2021-12-21
h2o/h2o,https://github.com/h2o/h2o,10996,"H2O - the optimized HTTP/1, HTTP/2, HTTP/3 server",The MIT License,0,1,1,2014-08-16
nicbarker/clay,https://github.com/nicbarker/clay,10888,High performance UI layout library in C.,Zlib/libpng License,0,1,1,2024-07-21
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,21656,How to Make a Computer Operating System in C++,Apache License 2.0,1,0,1,2013-11-29
skywind3000/kcp,https://github.com/skywind3000/kcp,15773,:zap: KCP - A Fast and Reliable ARQ Protocol,The MIT License,1,0,1,2014-12-26
squeaky-pl/japronto,https://github.com/squeaky-pl/japronto,8602, Screaming-fast Python 3.5+ HTTP toolkit integrated with pipelining HTTP server based on uvloop and picohttpparser.,The MIT License,0,1,1,2016-10-26
redcanaryco/atomic-red-team,https://github.com/redcanaryco/atomic-red-team,10174,Small and highly portable detection tests based on MITRE's ATT&CK.,The MIT License,0,1,1,2017-10-11
shellphish/how2heap,https://github.com/shellphish/how2heap,7518,A repository for learning various heap exploitation techniques.,The MIT License,0,1,1,2016-01-20
fulldecent/system-bus-radio,https://github.com/fulldecent/system-bus-radio,6564,Transmits AM radio on computers without radio transmitting hardware.,The MIT License,0,1,1,2016-02-29
brunodev85/winlator,https://github.com/brunodev85/winlator,11034,Android application for running Windows applications with Wine and Box86/Box64,The MIT License,0,0,0,2023-07-26
FreeRDP/FreeRDP,https://github.com/FreeRDP/FreeRDP,11365,FreeRDP is a free remote desktop protocol library and clients,Apache License 2.0,0,0,0,2011-06-30
s-matyukevich/raspberry-pi-os,https://github.com/s-matyukevich/raspberry-pi-os,13352,Learning operating system development using Linux kernel and Raspberry Pi,The MIT License,0,0,0,2017-06-22
swaywm/sway,https://github.com/swaywm/sway,15013,i3-compatible Wayland compositor,The MIT License,0,0,0,2015-08-05
raysan5/raylib,https://github.com/raysan5/raylib,24965,A simple and easy-to-use library to enjoy videogames programming,Zlib/libpng License,0,0,0,2013-10-24
jart/cosmopolitan,https://github.com/jart/cosmopolitan,18973,build-once run-anywhere c library,ISC License,0,0,0,2020-06-15
ggreer/the_silver_searcher,https://github.com/ggreer/the_silver_searcher,26355,"A code-searching tool similar to ack, but faster.",Apache License 2.0,0,0,0,2011-11-19
zephyrproject-rtos/zephyr,https://github.com/zephyrproject-rtos/zephyr,11446,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",Apache License 2.0,0,0,0,2016-05-26
lvgl/lvgl,https://github.com/lvgl/lvgl,18322,"Embedded graphics library to create beautiful UIs for any MCU, MPU and display type. ",The MIT License,0,0,0,2016-06-08
karpathy/llama2.c,https://github.com/karpathy/llama2.c,18040,Inference Llama 2 in one file of pure C,The MIT License,0,0,0,2023-07-23
espressif/esp-idf,https://github.com/espressif/esp-idf,14501,Espressif IoT Development Framework. Official development framework for Espressif SoCs.,Apache License 2.0,0,0,0,2016-08-17
n64decomp/sm64,https://github.com/n64decomp/sm64,7913,"A Super Mario 64 decompilation, brought to you by a bunch of clever folks.",Creative Commons 1.0 Universal,0,0,0,2019-06-08
yarrick/iodine,https://github.com/yarrick/iodine,6338,Official git repo for iodine dns tunnel,ISC License,0,0,0,2012-02-04
nodejs/http-parser,https://github.com/nodejs/http-parser,6376,http request/response parser for c,The MIT License,0,0,0,2009-04-27
googlecreativelab/anypixel,https://github.com/googlecreativelab/anypixel,6441,A web-friendly way for anyone to build unusual displays,Apache License 2.0,0,0,0,2016-06-02
s-macke/VoxelSpace,https://github.com/s-macke/VoxelSpace,6451,Terrain rendering algorithm in less than 20 lines of code,The MIT License,0,0,0,2017-09-23
yanfeizhang/coder-kung-fu,https://github.com/yanfeizhang/coder-kung-fu,6462,开发内功修炼,Apache License 2.0,0,0,0,2021-01-19
phoboslab/qoi,https://github.com/phoboslab/qoi,7030,"The “Quite OK Image Format” for fast, lossless image compression",The MIT License,0,0,0,2021-11-24
stanfordnlp/GloVe,https://github.com/stanfordnlp/GloVe,6951,"Software in C and data files for the popular GloVe model for distributed word representations, a.k.a. word vectors or embeddings",Apache License 2.0,0,0,0,2015-09-01
flightlessmango/MangoHud,https://github.com/flightlessmango/MangoHud,6852,"A Vulkan and OpenGL overlay for monitoring FPS, temperatures, CPU/GPU load and more. Discord: https://discordapp.com/invite/Gj5YmBb",The MIT License,0,0,0,2020-01-28
rui314/chibicc,https://github.com/rui314/chibicc,9930,A small C compiler,The MIT License,0,0,0,2019-08-03
cstack/db_tutorial,https://github.com/cstack/db_tutorial,9784,Writing a sqlite clone from scratch in C,The MIT License,0,0,0,2017-08-31
fogleman/Craft,https://github.com/fogleman/Craft,10549,A simple Minecraft clone written in C using modern OpenGL (shaders).,The MIT License,0,0,0,2013-04-09
krallin/tini,https://github.com/krallin/tini,10104,A tiny but valid `init` for containers,The MIT License,0,0,0,2015-02-27
RT-Thread/rt-thread,https://github.com/RT-Thread/rt-thread,10813,RT-Thread is an open source IoT Real-Time Operating System (RTOS).,Apache License 2.0,0,0,0,2013-01-02
nonstriater/Learn-Algorithms,https://github.com/nonstriater/Learn-Algorithms,8459,算法学习笔记,Apache License 2.0,0,0,0,2014-05-05
SecWiki/windows-kernel-exploits,https://github.com/SecWiki/windows-kernel-exploits,8201,windows-kernel-exploits   Windows平台提权漏洞集合,The MIT License,0,0,0,2017-04-25
nelhage/reptyr,https://github.com/nelhage/reptyr,5908,Reparent a running program to a new terminal,The MIT License,0,0,0,2011-01-14
swiftlang/swift-corelibs-foundation,https://github.com/swiftlang/swift-corelibs-foundation,5327,"The Foundation Project, providing core utilities, internationalization, and OS independence",Apache License 2.0,0,0,0,2015-11-09
SecWiki/linux-kernel-exploits,https://github.com/SecWiki/linux-kernel-exploits,5362,linux-kernel-exploits Linux平台提权漏洞集合,The MIT License,0,0,0,2017-04-25
guanzhi/GmSSL,https://github.com/guanzhi/GmSSL,5377,支持国密SM2/SM3/SM4/SM9/SSL的密码工具箱,Apache License 2.0,0,0,0,2014-12-01
CameraKit/camerakit-android,https://github.com/CameraKit/camerakit-android,5378,Library for Android Camera 1 and 2 APIs. Massively increase stability and reliability of photo and video capture on all Android devices.,The MIT License,0,0,0,2016-11-27
nginx/unit,https://github.com/nginx/unit,5455,NGINX Unit - universal web app server - a lightweight and versatile open source server that simplifies the application stack by natively executing application code across eight different programming language runtimes.,Apache License 2.0,0,0,0,2017-09-06
neutrinolabs/xrdp,https://github.com/neutrinolabs/xrdp,5940,xrdp: an open source RDP server,Apache License 2.0,0,0,0,2011-04-25
rui314/8cc,https://github.com/rui314/8cc,6203,A Small C Compiler,The MIT License,0,0,0,2012-02-28
FASTSHIFT/X-TRACK,https://github.com/FASTSHIFT/X-TRACK,5678,A GPS bicycle speedometer that supports offline maps and track recording ,The MIT License,0,0,0,2021-03-19
jedisct1/dsvpn,https://github.com/jedisct1/dsvpn,5197,A Dead Simple VPN.,The MIT License,0,0,0,2019-07-17
hathach/tinyusb,https://github.com/hathach/tinyusb,5308,An open source  cross-platform USB stack for embedded system,The MIT License,0,0,0,2012-11-26
memononen/nanovg,https://github.com/memononen/nanovg,5279,Antialiased 2D vector drawing library on top of OpenGL for UI and visualizations.,Zlib/libpng License,0,0,0,2013-11-12
vmg/redcarpet,https://github.com/vmg/redcarpet,5006,"The safe Markdown parser, reloaded.",The MIT License,0,0,0,2011-03-24
martin-ger/esp_wifi_repeater,https://github.com/martin-ger/esp_wifi_repeater,4910,A full functional WiFi Repeater (correctly: a WiFi NAT Router),The MIT License,0,0,0,2016-12-16
tboox/tbox,https://github.com/tboox/tbox,4951,🎁 A glib-like multi-platform c library,Apache License 2.0,0,0,0,2011-04-10
asg017/sqlite-vec,https://github.com/asg017/sqlite-vec,4868,A vector search SQLite extension that runs anywhere!,Apache License 2.0,0,0,0,2024-04-20
DualCoder/vgpu_unlock,https://github.com/DualCoder/vgpu_unlock,4711,Unlock vGPU functionality for consumer grade GPUs.,The MIT License,0,0,0,2021-01-28
